iter	PRAUC	Logloss
0	0.8399708194	0.5951124773
1	0.8475597396	0.5227463617
2	0.8468335228	0.4710283565
3	0.8504335129	0.433346579
4	0.8499741441	0.4067816836
5	0.8501230084	0.3871741591
6	0.850164053	0.3727182962
7	0.8503872758	0.3611395097
8	0.850357276	0.3522206884
9	0.8507136658	0.3447818821
10	0.8500734367	0.3389336131
11	0.8513613419	0.3334134641
12	0.8510972687	0.3290982356
13	0.8506869685	0.3252851127
14	0.8515086578	0.3216745601
15	0.8513695715	0.3188365755
16	0.8515834044	0.3163756575
17	0.8515947006	0.3141742299
18	0.852163935	0.311952628
19	0.8521480051	0.310304186
20	0.8524555982	0.3085104954
21	0.85253972	0.3069789109
22	0.8525795206	0.3057479262
23	0.852575819	0.3046191147
24	0.8526357548	0.3034208749
25	0.8527558766	0.3025764895
26	0.8527656185	0.3016510329
27	0.8527883994	0.3007487797
28	0.8528178486	0.3001244518
29	0.8528030963	0.2995413661
30	0.8527970501	0.2990176881
31	0.8528249489	0.2984307254
32	0.8528437882	0.298020697
33	0.8529217953	0.2976186363
34	0.853106659	0.2972027305
35	0.8531490339	0.2967719759
36	0.853140346	0.2964084731
37	0.8531393757	0.2960900476
38	0.8531748675	0.2958259118
39	0.8531765272	0.2956300873
40	0.8532679686	0.2953417119
41	0.8532660318	0.295138874
42	0.8532713854	0.2950062623
43	0.8533284221	0.2948233438
44	0.8533209276	0.2946978653
45	0.8533382949	0.294529351
46	0.8533198579	0.2944439371
47	0.8533621737	0.2943440607
48	0.8534230523	0.2942085152
49	0.8534764156	0.2940685763
50	0.8535211889	0.2939462417
51	0.8536025726	0.2938557023
52	0.8536158819	0.2937909878
53	0.853605719	0.2937343576
54	0.8536358534	0.2936895124
55	0.8536788053	0.2936026537
56	0.8536904777	0.2935274153
57	0.8537617798	0.2934398332
58	0.8537649479	0.2933965533
59	0.8537863828	0.2933215051
60	0.8537884199	0.2932795009
61	0.8537987242	0.2932488977
62	0.8538191816	0.2931951379
63	0.8538579791	0.2931542855
64	0.8538657029	0.2931273777
65	0.8539041151	0.2930737534
66	0.8539526528	0.2930547057
67	0.8539798663	0.2930198485
68	0.8540017516	0.2929976371
69	0.8540274242	0.2929788746
70	0.8540462937	0.2929449243
71	0.8540407399	0.2929164423
72	0.8540898309	0.29289495
73	0.8541139242	0.2928832061
74	0.8541363423	0.2928471907
75	0.8541575599	0.2928350109
76	0.85418263	0.29281965
77	0.8542398862	0.2928070927
78	0.8542478539	0.2927830393
79	0.8542722328	0.2927551984
80	0.8542917145	0.2927230563
81	0.8543130732	0.2927175023
82	0.8543144684	0.2927058509
83	0.8543596053	0.2926848224
84	0.854375051	0.2926680006
85	0.8543727538	0.2926588091
86	0.8543754187	0.2926381072
87	0.8544238766	0.2926310019
88	0.8544456496	0.2926272319
89	0.8544967352	0.2926209889
90	0.8545277182	0.2926078615
91	0.8545620261	0.292592219
92	0.8545671822	0.2925842964
93	0.8545819861	0.2925793041
94	0.8546145987	0.2925647713
95	0.8546451787	0.2925445373
96	0.8546660669	0.2925299279
97	0.8546837274	0.2925201795
98	0.8547145403	0.2925122436
99	0.8547184987	0.2925013269
100	0.8547418374	0.2924903683
101	0.8547459193	0.2924842824
102	0.8547363669	0.2924774044
103	0.8547553316	0.2924681319
104	0.8547642198	0.2924636519
105	0.8547641742	0.292463641
106	0.8547871955	0.2924493937
107	0.8548445568	0.2924349986
108	0.8548528371	0.2924289525
109	0.8549240467	0.2924251103
110	0.854949204	0.292415187
111	0.8549929273	0.2924114294
112	0.8550143353	0.2923951664
113	0.8550412972	0.2923909714
114	0.855051475	0.2923887122
115	0.8550755939	0.292381157
116	0.8550940634	0.2923735129
117	0.8551136696	0.2923655497
118	0.8551542809	0.2923506198
119	0.8551528174	0.2923411397
120	0.8551531145	0.2923316375
121	0.8551627247	0.2923239007
122	0.8551697087	0.292321196
123	0.8551898368	0.292309136
124	0.8552105592	0.2923040298
125	0.8552163943	0.2922942208
126	0.8552256086	0.292291269
127	0.8552532751	0.2922880029
128	0.8552713194	0.2922846599
129	0.8553032472	0.2922815109
130	0.8553130275	0.2922703096
131	0.8553851198	0.2922685614
132	0.8554004132	0.2922618979
133	0.855413884	0.2922574021
134	0.8554707114	0.2922504749
135	0.8555165279	0.2922410583
136	0.8555603272	0.2922343171
137	0.8555607242	0.2922279786
138	0.8556203786	0.2922260154
139	0.855639298	0.292222368
140	0.8556667939	0.2922189842
141	0.8556828512	0.2922170998
142	0.8557138634	0.2922142613
143	0.8557382131	0.2922114692
144	0.8557470952	0.2922047545
145	0.8557692447	0.2922021426
146	0.855781045	0.2921961911
147	0.8558462067	0.2921842105
148	0.85586671	0.2921810195
149	0.8558696666	0.2921783434
150	0.8558874013	0.292174397
151	0.8559147869	0.2921685872
152	0.8559374977	0.2921643875
153	0.8559525092	0.2921618738
154	0.8559800122	0.2921581119
155	0.8559927498	0.2921527033
156	0.8560159417	0.2921507869
157	0.8560433256	0.2921456878
158	0.8560793708	0.2921410599
159	0.856099676	0.2921340799
160	0.8561023644	0.2921295946
161	0.856117234	0.2921262581
162	0.8561188793	0.2921231208
163	0.8561236723	0.292120543
164	0.8561201264	0.2921157469
165	0.8561300104	0.2921142191
166	0.8561338249	0.2921091219
167	0.8561420626	0.292107975
168	0.8561454365	0.2921055182
169	0.8561447251	0.2921040094
170	0.8561518765	0.2921017096
171	0.8561554168	0.2920977841
172	0.8561688203	0.2920939675
173	0.8562187306	0.2920891306
174	0.8562314812	0.2920869252
175	0.8562432299	0.2920837979
176	0.8562477146	0.2920822561
177	0.8562908342	0.2920795613
178	0.8563308103	0.29207791
179	0.8563518815	0.2920691502
180	0.8563801875	0.2920649141
181	0.8563805353	0.2920636539
182	0.8563984669	0.2920619569
183	0.8564058577	0.2920609311
184	0.8564054368	0.2920585599
185	0.8564136681	0.2920542411
186	0.8564215502	0.2920509229
187	0.8564376282	0.2920477888
188	0.8564336013	0.2920437115
189	0.8564355576	0.2920432084
190	0.8564363562	0.2920327008
191	0.8564579246	0.2920284825
192	0.8564788147	0.2920210486
193	0.8565071819	0.292007484
194	0.8565182943	0.2920064285
195	0.856524308	0.2920062287
196	0.8565469835	0.2920049874
197	0.8565520654	0.2920015313
198	0.8565579077	0.2919986164
199	0.8565581927	0.2919985828
200	0.8565603118	0.2919959577
201	0.8565798592	0.2919911396
202	0.856592573	0.2919866959
203	0.8565943093	0.2919828568
204	0.8566005174	0.2919805498
205	0.8566370717	0.2919739415
206	0.8566456691	0.2919727826
207	0.8566702238	0.2919713619
208	0.8566759837	0.2919700527
209	0.8566763361	0.2919685296
210	0.8566873232	0.291965846
211	0.8567375267	0.291962899
212	0.8567445147	0.2919608047
213	0.8567432349	0.2919600497
214	0.856758783	0.2919592759
215	0.8567571847	0.2919568025
216	0.8567623555	0.2919552092
217	0.8567798062	0.2919536534
218	0.8567886126	0.2919512047
219	0.8568131275	0.2919460738
220	0.8568574321	0.2919425872
221	0.8568701637	0.2919406142
222	0.8568789179	0.2919396818
223	0.8568963236	0.2919346866
224	0.8569037771	0.2919333882
225	0.8569022564	0.2919306967
226	0.8569207876	0.2919281782
227	0.856938012	0.2919265012
228	0.8569484285	0.291924358
229	0.8569622844	0.2919173025
230	0.8570056951	0.2919146888
231	0.8570192117	0.2919127655
232	0.857021827	0.2919050275
233	0.8570346822	0.2919019343
234	0.8570740977	0.2918994978
235	0.8571068817	0.2918985529
236	0.8571102811	0.2918979204
237	0.8571362263	0.2918953765
238	0.8571493497	0.2918931052
239	0.8571715317	0.2918877278
240	0.8571947273	0.2918840215
241	0.8572104696	0.2918809213
242	0.8572089863	0.2918711456
243	0.85721564	0.2918702824
244	0.8572260747	0.2918681725
245	0.8572463607	0.2918669523
246	0.8572549622	0.2918602439
247	0.8572681909	0.2918591689
248	0.8572832637	0.2918582128
249	0.8573005044	0.2918575375
250	0.8573148723	0.29185678
251	0.8573267027	0.2918539616
252	0.8573431842	0.2918478853
253	0.8573498647	0.2918432846
254	0.8573595046	0.2918384445
255	0.8573863366	0.2918368117
256	0.8573916428	0.291836337
257	0.8573989156	0.2918350576
258	0.8574033355	0.2918329637
259	0.8574104059	0.2918293133
260	0.8575029737	0.2918258574
261	0.8575323381	0.2918230174
262	0.8575491834	0.2918207375
263	0.8575968326	0.2918180846
264	0.8576908245	0.2918148146
265	0.8577081597	0.2918121249
266	0.8577076591	0.2918110765
267	0.8577280112	0.2918093116
268	0.8577716597	0.2918065715
269	0.857811628	0.2918045594
270	0.8578669313	0.2918023625
271	0.8579154203	0.291798726
272	0.8579281626	0.2917950715
273	0.8579494835	0.2917932331
274	0.8580197963	0.291790396
275	0.8580460557	0.2917879182
276	0.8581469376	0.2917834073
277	0.8581580105	0.2917798161
278	0.8581889507	0.2917740249
279	0.8582391509	0.2917716296
280	0.8582593011	0.2917693904
281	0.8582797539	0.2917645758
282	0.8582923761	0.291754477
283	0.8582917834	0.291753096
284	0.8583124218	0.2917498259
285	0.8583743375	0.2917466665
286	0.8583713534	0.291742991
287	0.8583890939	0.2917414661
288	0.8583907405	0.2917371398
289	0.8584119857	0.2917358925
290	0.8584208192	0.2917323881
291	0.8584731956	0.2917297053
292	0.8584763443	0.2917255828
293	0.8585312148	0.2917233615
294	0.8585437674	0.2917182521
295	0.8585433899	0.2917162329
296	0.8585607735	0.2917118032
297	0.858569426	0.2917073909
298	0.8585866501	0.2917027659
299	0.8585898217	0.2917008321
300	0.8586003474	0.2916972581
301	0.8586110302	0.2916945359
302	0.8586600979	0.2916924499
303	0.8586816151	0.2916890569
304	0.8586932459	0.2916842402
305	0.8587407346	0.2916793142
306	0.8587547359	0.2916755452
307	0.8587868171	0.2916725133
308	0.8588281651	0.2916698059
309	0.8588349978	0.2916666013
310	0.8588550007	0.2916613195
311	0.8588861122	0.2916566836
312	0.8589153484	0.2916531084
313	0.8589427314	0.2916493805
314	0.8589779813	0.2916462298
315	0.8590393251	0.2916430742
316	0.8590535359	0.2916400133
317	0.8590563864	0.2916361112
318	0.8590829461	0.2916319644
319	0.8590948306	0.2916264684
320	0.8590993282	0.2916248305
321	0.8591090754	0.2916216485
322	0.8591286841	0.2916184679
323	0.8591362988	0.2916149654
324	0.8591697777	0.2916120129
325	0.8592170811	0.2916086753
326	0.8592516542	0.2916059571
327	0.8592752766	0.29160157
328	0.859301168	0.2915979626
329	0.8593093098	0.2915959158
330	0.8593706946	0.2915927094
331	0.859410287	0.2915891086
332	0.85943651	0.2915858874
333	0.8594918691	0.2915834115
334	0.8595182563	0.2915809672
335	0.8595431412	0.2915770876
336	0.8595549672	0.2915728856
337	0.8595677694	0.2915691901
338	0.8595704839	0.2915665002
339	0.8595977244	0.2915635046
340	0.8596286394	0.291556814
341	0.8596648595	0.2915532145
342	0.8597253253	0.2915489703
343	0.8597363582	0.2915463285
344	0.8598050292	0.2915428878
345	0.8598391177	0.2915386104
346	0.8598855439	0.2915356831
347	0.8599069605	0.291532276
348	0.8599404655	0.2915295362
349	0.8599423894	0.2915220232
350	0.8599781531	0.2915160883
351	0.860002545	0.2915124639
352	0.860009208	0.2915105543
353	0.8600368096	0.2915070665
354	0.8600456711	0.2915036912
355	0.8600740609	0.2915004732
356	0.8601089983	0.2914971214
357	0.8601503635	0.2914940722
358	0.8601642966	0.2914910781
359	0.8601921888	0.2914873784
360	0.8602064313	0.2914827487
361	0.8602387752	0.291479761
362	0.8602486515	0.2914763577
363	0.860275128	0.2914737101
364	0.8602933457	0.2914707568
365	0.8603277582	0.291467646
366	0.8603492215	0.2914631045
367	0.86037846	0.2914593445
368	0.8604085525	0.2914569093
369	0.8604312678	0.2914539623
