iter	Passed	Remaining
0	169	84549
1	348	86692
2	548	90890
3	734	91068
4	977	96802
5	1170	96361
6	1362	95935
7	1557	95794
8	1746	95300
9	1941	95143
10	2154	95756
11	2351	95611
12	2554	95700
13	2754	95614
14	2961	95769
15	3163	95697
16	3371	95792
17	3568	95553
18	3773	95538
19	3984	95618
20	4189	95563
21	4391	95421
22	4599	95387
23	4806	95338
24	5013	95264
25	5234	95429
26	5450	95480
27	5659	95410
28	5868	95312
29	6082	95293
30	6301	95339
31	6515	95294
32	6729	95230
33	6946	95207
34	7158	95104
35	7355	94802
36	7567	94694
37	7796	94787
38	8008	94659
39	8228	94627
40	8442	94512
41	8655	94384
42	8879	94369
43	9111	94428
44	9344	94480
45	9564	94394
46	9793	94388
47	10016	94321
48	10240	94250
49	10460	94146
50	10684	94069
51	10910	93994
52	11137	93935
53	11364	93858
54	11595	93820
55	11835	93834
56	12069	93806
57	12296	93710
58	12526	93632
59	12751	93514
60	12987	93466
61	13216	93367
62	13442	93242
63	13666	93101
64	13898	93015
65	14127	92897
66	14358	92796
67	14587	92675
68	14819	92570
69	15048	92441
70	15278	92314
71	15507	92181
72	15738	92057
73	15973	91953
74	16207	91844
75	16449	91770
76	16684	91654
77	16921	91548
78	17154	91417
79	17386	91276
80	17620	91149
81	17865	91072
82	18104	90959
83	18346	90858
84	18606	90842
85	18856	90772
86	19101	90675
87	19427	90954
88	19643	90711
89	19891	90615
90	20137	90507
91	20380	90384
92	20622	90251
93	20902	90282
94	21162	90218
95	21409	90099
96	21656	89975
97	21943	90014
98	22192	89892
99	22444	89776
100	22684	89613
101	22921	89437
102	23174	89323
103	23433	89226
104	23688	89113
105	23889	88795
106	24122	88599
107	24355	88402
108	24585	88192
109	24819	87997
110	25053	87799
111	25289	87609
112	25523	87412
113	25764	87237
114	25987	87002
115	26237	86853
116	26513	86791
117	26774	86677
118	27042	86582
119	27314	86496
120	27595	86434
121	27905	86462
122	28185	86389
123	28459	86297
124	28710	86131
125	28946	85921
126	29167	85664
127	29418	85498
128	29669	85327
129	29920	85158
130	30175	84998
131	30413	84788
132	30679	84657
133	30938	84504
134	31195	84343
135	31452	84181
136	31699	83993
137	31945	83798
138	32177	83569
139	32427	83384
140	32685	83221
141	32941	83048
142	33171	82811
143	33425	82635
144	33683	82466
145	33940	82295
146	34194	82113
147	34448	81930
148	34708	81764
149	34978	81615
150	35232	81431
151	35483	81239
152	35737	81052
153	35995	80872
154	36253	80694
155	36517	80525
156	36754	80297
157	37005	80100
158	37259	79909
159	37510	79710
160	37774	79538
161	38099	79490
162	38403	79398
163	38724	79336
164	39051	79286
165	39405	79285
166	39754	79271
167	40106	79257
168	40410	79147
169	40724	79054
170	41025	78932
171	41312	78781
172	41616	78663
173	41932	78563
174	42240	78447
175	42532	78298
176	42829	78156
177	43142	78043
178	43413	77852
179	43696	77682
180	44009	77564
181	44315	77429
182	44611	77277
183	44907	77123
184	45196	76956
185	45480	76778
186	45764	76600
187	46057	76435
188	46353	76275
189	46660	76129
190	46960	75972
191	47245	75790
192	47534	75612
193	47826	75437
194	48129	75280
195	48424	75107
196	48710	74920
197	48996	74731
198	49309	74583
199	49591	74387
200	49879	74199
201	50209	74071
202	50535	73935
203	50828	73750
204	51128	73575
205	51435	73407
206	51759	73264
207	52087	73123
208	52390	72945
209	52680	72748
210	53001	72594
211	53369	72502
212	53741	72412
213	54112	72318
214	54522	72274
215	54928	72220
216	55330	72159
217	55714	72070
218	56030	71892
219	56331	71694
220	56640	71505
221	56935	71297
222	57231	71089
223	57514	70866
224	57808	70654
225	58079	70414
226	58337	70159
227	58596	69904
228	58842	69634
229	59093	69370
230	59354	69117
231	59609	68858
232	59865	68601
233	60117	68339
234	60366	68072
235	60630	67823
236	60873	67551
237	61120	67283
238	61380	67030
239	61623	66758
240	61879	66500
241	62131	66238
242	62382	65976
243	62634	65714
244	62886	65453
245	63136	65190
246	63385	64924
247	63635	64661
248	63896	64409
249	64133	64133
250	64388	63875
251	64645	63619
252	64894	63355
253	65131	63080
254	65361	62798
255	65621	62545
256	65883	62294
257	66126	62025
258	66356	61744
259	66604	61481
260	66861	61225
261	67097	60951
262	67348	60690
263	67608	60437
264	67847	60166
265	68102	59909
266	68347	59643
